Event,Time,Voltage1,Voltage2
136,-2.040065710e-03,5.993468211e-02,-1.303693146e+00
136,-2.020065710e-03,6.073870208e-02,-1.102688115e+00
136,-2.000065710e-03,6.073870208e-02,-9.016830848e-01
136,-1.980065710e-03,5.993468211e-02,-1.102688115e+00
136,-1.960065710e-03,5.993468211e-02,-9.016830848e-01
136,-1.940065710e-03,5.832664218e-02,-1.102688115e+00
136,-1.920065710e-03,5.832664218e-02,-1.906708237e+00
136,-1.900065710e-03,5.591458227e-02,-1.705703206e+00
136,-1.880065710e-03,5.511056230e-02,-1.102688115e+00
136,-1.860065710e-03,5.591458227e-02,-1.102688115e+00
136,-1.840065710e-03,5.430654234e-02,-1.102688115e+00
136,-1.820065710e-03,5.350252237e-02,-9.016830848e-01
136,-1.800065710e-03,5.350252237e-02,-1.102688115e+00
136,-1.780065710e-03,5.350252237e-02,-1.102688115e+00
136,-1.760065710e-03,5.350252237e-02,-7.006780544e-01
136,-1.740065710e-03,5.511056230e-02,-2.107713267e+00
136,-1.720065710e-03,5.591458227e-02,-3.313743450e+00
136,-1.700065710e-03,5.511056230e-02,-4.117763571e+00
136,-1.680065710e-03,5.671860224e-02,-2.911733389e+00
136,-1.660065710e-03,5.671860224e-02,-2.308718298e+00
136,-1.640065710e-03,5.511056230e-02,-3.715753510e+00
136,-1.620065710e-03,5.511056230e-02,-2.911733389e+00
136,-1.600065710e-03,5.511056230e-02,-2.509723328e+00
136,-1.580065710e-03,5.430654234e-02,-2.107713267e+00
136,-1.560065710e-03,5.591458227e-02,-1.504698176e+00
136,-1.540065710e-03,5.913066214e-02,-1.705703206e+00
136,-1.520065710e-03,6.073870208e-02,-1.303693146e+00
136,-1.500065710e-03,5.752262221e-02,-1.102688115e+00
136,-1.480065710e-03,5.752262221e-02,-1.504698176e+00
136,-1.460065710e-03,5.832664218e-02,-1.303693146e+00
136,-1.440065710e-03,5.591458227e-02,-1.906708237e+00
136,-1.420065710e-03,5.591458227e-02,-1.906708237e+00
136,-1.400065710e-03,5.430654234e-02,-1.504698176e+00
136,-1.380065710e-03,5.591458227e-02,-1.102688115e+00
136,-1.360065710e-03,5.752262221e-02,-9.016830848e-01
136,-1.340065710e-03,5.511056230e-02,-1.102688115e+00
136,-1.320065710e-03,5.511056230e-02,-1.102688115e+00
136,-1.300065710e-03,5.511056230e-02,-1.705703206e+00
136,-1.280065710e-03,5.671860224e-02,-1.504698176e+00
136,-1.260065710e-03,5.591458227e-02,-1.303693146e+00
136,-1.240065710e-03,5.591458227e-02,-9.016830848e-01
136,-1.220065710e-03,5.430654234e-02,-1.102688115e+00
136,-1.200065710e-03,5.511056230e-02,-1.504698176e+00
136,-1.180065710e-03,5.511056230e-02,-2.107713267e+00
136,-1.160065710e-03,5.752262221e-02,-2.509723328e+00
136,-1.140065710e-03,5.752262221e-02,-2.710728358e+00
136,-1.120065710e-03,5.913066214e-02,-1.906708237e+00
136,-1.100065710e-03,5.671860224e-02,-1.906708237e+00
136,-1.080065710e-03,5.832664218e-02,-2.509723328e+00
136,-1.060065710e-03,5.832664218e-02,-2.308718298e+00
136,-1.040065710e-03,5.913066214e-02,-1.705703206e+00
136,-1.020065710e-03,5.993468211e-02,-2.308718298e+00
136,-1.000065710e-03,5.913066214e-02,-1.906708237e+00
136,-9.800657100e-04,5.752262221e-02,-1.303693146e+00
136,-9.600657100e-04,5.671860224e-02,-1.303693146e+00
136,-9.400657100e-04,5.671860224e-02,-1.303693146e+00
136,-9.200657100e-04,5.832664218e-02,-9.016830848e-01
136,-9.000657100e-04,5.671860224e-02,-1.504698176e+00
136,-8.800657100e-04,5.591458227e-02,-2.107713267e+00
136,-8.600657100e-04,5.752262221e-02,-1.705703206e+00
136,-8.400657100e-04,5.591458227e-02,-1.102688115e+00
136,-8.200657100e-04,5.832664218e-02,-9.016830848e-01
136,-8.000657100e-04,5.671860224e-02,-1.303693146e+00
136,-7.800657100e-04,5.591458227e-02,-1.303693146e+00
136,-7.600657100e-04,5.671860224e-02,-2.107713267e+00
136,-7.400657100e-04,5.430654234e-02,-2.509723328e+00
136,-7.200657100e-04,5.591458227e-02,-2.308718298e+00
136,-7.000657100e-04,5.591458227e-02,-2.710728358e+00
136,-6.800657100e-04,5.671860224e-02,-2.107713267e+00
136,-6.600657100e-04,5.591458227e-02,-1.705703206e+00
136,-6.400657100e-04,5.671860224e-02,-2.509723328e+00
136,-6.200657100e-04,5.671860224e-02,-3.112738419e+00
136,-6.000657100e-04,5.671860224e-02,-2.308718298e+00
136,-5.800657100e-04,5.591458227e-02,-1.504698176e+00
136,-5.600657100e-04,5.591458227e-02,-1.705703206e+00
136,-5.400657100e-04,5.430654234e-02,-1.504698176e+00
136,-5.200657100e-04,5.591458227e-02,-1.504698176e+00
136,-5.000657100e-04,5.430654234e-02,-9.016830848e-01
136,-4.800657100e-04,5.430654234e-02,-9.016830848e-01
136,-4.600657100e-04,5.591458227e-02,-2.107713267e+00
136,-4.400657100e-04,5.832664218e-02,-1.906708237e+00
136,-4.200657100e-04,5.832664218e-02,-1.303693146e+00
136,-4.000657100e-04,5.752262221e-02,-1.504698176e+00
