Event,Voltage1,Voltage2
33,-0.1126508147,3.007537306
33,-0.09657041536,2.927135283
33,-0.1126508147,2.886934272
33,-0.104610615,2.886934272
33,-0.1126508147,2.927135283
33,-0.1126508147,3.047738317
33,-0.09657041536,3.007537306
33,-0.104610615,3.128140339
33,-0.1528518131,3.007537306
33,-0.1206910144,2.886934272
33,-0.1448116134,2.846733261
33,-0.1448116134,2.886934272
33,-0.1608920128,2.886934272
33,-0.1287312141,2.766331238
33,-0.1287312141,2.80653225
33,-0.1528518131,2.846733261
33,-0.1287312141,2.766331238
33,-0.1448116134,2.927135283
33,-0.1367714138,3.007537306
33,-0.1367714138,3.128140339
33,-0.1206910144,3.16834135
33,-0.1367714138,3.128140339
33,-0.104610615,3.087939328
33,-0.1126508147,3.087939328
33,-0.104610615,3.16834135
33,-0.08853021568,3.087939328
33,-0.1367714138,3.087939328
33,-0.1528518131,3.047738317
33,-0.1287312141,3.047738317
33,-0.1206910144,3.128140339
33,-0.104610615,3.128140339
33,-0.104610615,3.16834135
33,-0.1287312141,3.007537306
33,-0.104610615,3.007537306
33,-0.09657041536,3.007537306
33,-0.104610615,2.967336294
33,-0.080490016,3.16834135
33,-0.080490016,3.128140339
33,-0.104610615,3.087939328
33,-0.080490016,3.128140339
33,-0.07244981632,3.128140339
33,-0.06440961664,3.047738317
33,-0.04832921728,3.047738317
33,-0.06440961664,3.007537306
33,-0.080490016,3.007537306
33,-0.07244981632,2.967336294
33,-0.08853021568,2.967336294
33,-0.080490016,2.967336294
33,-0.080490016,2.886934272
33,-0.09657041536,2.927135283
33,-0.080490016,3.007537306
33,-0.080490016,3.047738317
33,-0.07244981632,3.047738317
33,-0.07244981632,2.967336294
33,-0.080490016,3.128140339
33,-0.09657041536,3.128140339
33,-0.1206910144,3.248743373
33,-0.1126508147,3.329145395
33,-0.1206910144,3.208542362
33,-0.1126508147,3.208542362
33,-0.104610615,3.208542362
33,-0.104610615,3.128140339
33,-0.1206910144,3.087939328
33,-0.2091332109,4.092964608
33,-0.2975754074,4.454773709
33,-0.3216960064,4.17336663
33,-0.257374409,4.133165619
33,-0.2252136102,4.012562586
33,-0.1850126118,3.81155753
33,-0.1608920128,3.650753485
33,-0.1448116134,3.610552474
33,-0.1367714138,3.530150451
33,-0.1689322125,3.329145395
33,-0.1367714138,3.248743373
33,-0.1126508147,3.16834135
33,-0.1126508147,3.128140339
33,-0.1448116134,3.248743373
33,-0.1528518131,3.248743373
33,-0.1287312141,3.208542362
33,-0.104610615,3.208542362
33,-0.080490016,3.128140339
33,-0.09657041536,3.047738317
33,-0.08853021568,3.007537306
33,-0.06440961664,2.886934272
33,-0.1126508147,2.846733261
33,-0.104610615,2.726130227
33,-0.08853021568,2.726130227
33,-0.08853021568,2.685929216
33,-0.080490016,2.645728205
33,-0.08853021568,2.685929216
33,-0.09657041536,2.685929216
33,-0.080490016,2.766331238
33,-0.08853021568,2.726130227
33,-0.09657041536,2.80653225
33,-0.104610615,2.80653225
33,-0.080490016,2.685929216
33,-0.08853021568,2.726130227
33,-0.104610615,2.685929216
33,-0.080490016,2.80653225
33,-0.1448116134,2.886934272
33,-0.1206910144,2.80653225
33,-0.104610615,2.685929216
33,-0.09657041536,2.645728205
33,-0.104610615,2.726130227
33,-0.104610615,2.726130227
33,-0.104610615,2.886934272
33,-0.08853021568,2.846733261
33,-0.08853021568,2.726130227
33,-0.06440961664,2.726130227
33,-0.1206910144,2.766331238
33,-0.104610615,2.766331238
33,-0.1126508147,2.685929216
33,-0.1126508147,2.726130227
33,-0.104610615,2.645728205
33,-0.1126508147,2.605527194
33,-0.104610615,2.565326182
33,-0.1126508147,2.645728205
33,-0.104610615,2.645728205
33,-0.1126508147,2.685929216
33,-0.104610615,2.685929216
33,-0.1126508147,2.645728205
33,-0.080490016,2.80653225
33,-0.09657041536,2.766331238
33,-0.09657041536,2.766331238
33,-0.09657041536,2.645728205
33,-0.08853021568,2.726130227
33,-0.09657041536,2.685929216
33,-0.080490016,2.766331238
33,-0.1126508147,2.80653225
33,-0.104610615,2.846733261
33,-0.1206910144,2.80653225
33,-0.1126508147,2.645728205
33,-0.104610615,2.846733261
33,-0.1206910144,2.80653225
33,-0.1206910144,2.846733261
33,-0.1126508147,2.846733261
33,-0.08853021568,2.927135283
33,-0.104610615,2.846733261
